Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle
1,10,80,50,60,2.29017,0.0936253,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.5555555555555556,5.0,0.625,500,4000,4500,44.44444444444444,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3000,600,4800,5400
2,10,80,55,60,1.7596,0.0301965,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6111111111111112,5.5,0.6875,550,4400,4950,48.888888888888886,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3300,600,4800,5400
3,10,80,60,60,1.80526,0.0412513,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6666666666666666,6.0,0.75,600,4800,5400,53.33333333333333,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3600,600,4800,5400
4,10,80,55,90,1.29597,0.0210961,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6111111111111112,5.5,0.6875,550,4400,4950,48.888888888888886,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,4950,900,7200,8100
5,10,80,65,60,1.75407,0.0158443,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3900,600,4800,5400
6,10,80,60,90,1.28243,0.029433,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6666666666666666,6.0,0.75,600,4800,5400,53.33333333333333,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,5400,900,7200,8100
7,10,80,65,90,1.30412,0.0453863,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,5850,900,7200,8100
8,10,80,70,90,1.38795,0.0513345,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7777777777777778,7.0,0.875,700,5600,6300,62.22222222222222,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,6300,900,7200,8100
9,10,80,55,120,1.05256,0.0295853,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6111111111111112,5.5,0.6875,550,4400,4950,48.888888888888886,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,6600,1200,9600,10800
10,10,80,60,120,1.17187,0.022162,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6666666666666666,6.0,0.75,600,4800,5400,53.33333333333333,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,7200,1200,9600,10800
11,10,80,65,120,1.17573,0.0194448,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,7800,1200,9600,10800
12,10,80,70,120,1.28156,0.0144789,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7777777777777778,7.0,0.875,700,5600,6300,62.22222222222222,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,8400,1200,9600,10800
13,20,80,75,60,2.04975,0.016115,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.75,3.75,0.9375,1500,6000,7500,60.0,1600,0.16000000000000003,1.0471975511965976,0.8660254037844386,0.5000000000000001,4500,1200,4800,6000
14,20,80,85,60,1.87831,0.0167196,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.85,4.25,1.0625,1700,6800,8500,68.0,1600,0.16000000000000003,1.0471975511965976,0.8660254037844386,0.5000000000000001,5100,1200,4800,6000
