Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std
1,10,80,50,60,2.29017,0.0936253
2,10,80,55,60,1.7596,0.0301965
3,10,80,60,60,1.80526,0.0412513
4,10,80,55,90,1.29597,0.0210961
5,10,80,65,60,1.75407,0.0158443
6,10,80,60,90,1.28243,0.029433
7,10,80,65,90,1.30412,0.0453863
8,10,80,70,90,1.38795,0.0513345
9,10,80,55,120,1.05256,0.0295853
10,10,80,60,120,1.17187,0.022162
11,10,80,65,120,1.17573,0.0194448
12,10,80,70,120,1.28156,0.0144789
13,20,80,75,60,2.04975,0.016115
14,20,80,85,60,1.87831,0.0167196
15,20,80,95,60,1.74885,0.0334194
16,20,80,85,90,1.4926,0.0162292
17,20,80,95,90,1.39505,0.0125334
18,20,80,105,90,1.44103,0.00846958
19,20,80,115,90,1.42223,0.00551604
20,20,80,75,120,1.2125,0.0185018
21,20,80,85,120,1.19111,0.0182752
22,20,80,95,120,1.16533,0.0153714
23,20,80,105,120,1.16534,0.0191255
24,20,80,115,120,1.20579,0.0158535
25,40,40,50,60,1.80422,0.0482703
26,40,40,55,60,2.44505,0.0673524
27,40,40,65,60,2.14773,0.0410755
28,40,40,55,90,1.55854,0.0404212
29,40,40,60,90,1.38725,0.0237332
30,40,40,65,90,1.36564,0.0275376
31,40,40,70,90,1.52016,0.00885943
32,40,40,50,120,1.21458,0.031865
33,40,40,55,120,1.18475,0.0251478
34,40,40,60,120,1.00068,0.028701
35,40,40,65,120,1.15143,0.053961
36,40,40,70,120,1.18045,0.020291
37,40,60,75,60,1.97211,0.115179
38,40,60,85,60,2.18925,0.0312527
39,40,60,95,60,1.94988,0.0269887
40,40,60,65,90,1.45212,0.0365994
41,40,60,75,90,1.42363,0.0644926
42,40,60,95,90,1.35048,0.0178555
43,40,60,105,120,1.23805,0.0418633
44,40,60,75,120,1.18126,0.0479477
45,40,60,85,120,1.20002,0.0268969
46,40,60,95,120,1.15453,0.0215345
47,40,80,120,60,1.60113,0.0298627
48,40,80,130,60,1.95358,0.0216747
49,40,80,140,60,1.82522,0.0133087
50,40,80,150,60,1.92546,0.0219518
51,40,80,120,90,1.36288,0.0282561
52,40,80,130,90,1.34172,0.0445454
53,40,80,150,90,1.42105,0.0145608
54,40,80,110,120,1.22687,0.0203316
55,40,80,130,120,1.18756,0.0206974
56,40,80,140,120,1.18237,0.0173148
57,40,80,150,120,1.19584,0.0204479
58,60,20,50,60,1.80075,0.120007
59,60,20,55,60,1.93806,0.0437234
60,60,20,60,60,2.0106,0.0630045
61,60,20,65,60,2.31133,0.0988328
62,60,20,50,90,1.5134,0.0504629
63,60,20,55,90,1.53985,0.0697319
64,60,20,60,90,1.49433,0.0310203
65,60,20,65,90,1.4624,0.0374672
66,60,20,70,90,1.62994,0.0274714
67,60,20,50,120,1.09488,0.0162623
68,60,20,55,120,1.21931,0.0365402
69,60,20,65,120,1.22121,0.00902439
70,60,20,70,120,1.27114,0.0290935
71,60,40,95,60,2.36855,0.123116
72,60,40,100,60,1.56292,0.0428463
73,60,40,105,60,1.7423,0.0698619
74,60,40,90,90,1.41795,0.0411236
75,60,40,95,90,1.31523,0.00945609
76,60,40,100,90,1.32876,0.0307992
77,60,40,105,90,1.46489,0.0155806
78,60,40,85,120,1.17845,0.0104487
79,60,40,90,120,1.14397,0.0103393
80,60,40,95,120,1.19772,0.0201288
81,60,40,100,120,1.16671,0.0273399
82,60,40,105,120,1.11558,0.0117484
83,60,60,140,60,1.50363,0.047354
84,60,60,150,60,1.81434,0.0715356
85,60,60,155,60,1.78987,0.0386035
86,60,60,160,60,1.70334,0.0283493
87,60,60,140,90,1.27302,0.0232889
88,60,60,145,90,1.4647,0.0146547
89,60,60,150,90,1.62833,0.0337752
90,60,60,155,90,1.49292,0.0278472
91,60,60,160,90,1.54228,0.0432433
92,60,60,140,120,1.20107,0.00993045
93,60,60,145,120,1.21688,0.0252817
94,60,60,150,120,1.30275,0.00780293
95,60,60,155,120,1.35987,0.0105086
96,60,60,160,120,1.16353,0.0154409
