Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Pr_mean,Pr_std,Qm_mean_mg_s,Qm_std_mg_s,SR_mean,SR_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa
1,10,80,65,1.01,0.029,0.735,0.019,3.422,0.283,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
2,10,80,70,0.959,0.017,0.851,0.019,4.538,0.669,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7777777777777778,7.0,0.875,700,5600,6300,62.22222222222222,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
3,10,80,75,0.967,0.042,1.074,0.018,5.597,0.247,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.8333333333333334,7.5,0.9375,750,6000,6750,66.66666666666666,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
4,10,80,80,0.932,0.03,1.375,0.068,6.138,0.485,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.8888888888888888,8.0,1.0,800,6400,7200,71.11111111111111,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
5,10,80,85,1.049,0.13,1.834,0.103,6.203,0.49,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.9444444444444444,8.5,1.0625,850,6800,7650,75.55555555555556,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
6,10,80,100,,,,,3.589,0.089,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1.1111111111111112,10.0,1.25,1000,8000,9000,88.88888888888889,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
7,20,80,75,1.136,0.143,0.293,0.095,3.943,0.124,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.75,3.75,0.9375,1500,6000,7500,60.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
8,20,80,85,1.014,0.037,0.507,0.011,3.697,0.329,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.85,4.25,1.0625,1700,6800,8500,68.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
9,20,80,95,0.984,0.038,0.767,0.034,4.767,0.248,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.95,4.75,1.1875,1900,7600,9500,76.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
10,20,80,105,0.971,0.051,1.144,0.027,4.49,1.711,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.05,5.25,1.3125,2100,8400,10500,84.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
11,20,80,115,0.883,0.002,1.438,0.102,7.511,0.716,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.15,5.75,1.4375,2300,9200,11500,92.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
12,40,40,55,1.005,0.035,0.778,0.112,4.142,0.245,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.6875,1.375,1.375,2200,2200,4400,27.5,1600,0.25,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
13,40,40,60,1.048,0.034,1.134,0.006,4.559,0.305,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.75,1.5,1.5,2400,2400,4800,30.0,1600,0.25,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
14,40,40,65,1.098,0.099,1.797,0.171,5.156,0.373,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.8125,1.625,1.625,2600,2600,5200,32.5,1600,0.25,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
15,40,40,70,0.999,0.081,2.403,0.028,4.706,1.769,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.875,1.75,1.75,2800,2800,5600,35.0,1600,0.25,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
16,40,40,75,1.004,0.045,2.881,0.125,7.238,0.35,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.9375,1.875,1.875,3000,3000,6000,37.5,1600,0.25,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
17,40,40,100,,,,,7.447,0.105,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,1.25,2.5,2.5,4000,4000,8000,50.0,1600,0.25,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
18,40,60,75,0.969,0.038,0.658,0.04,4.586,1.698,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.75,1.875,1.25,3000,4500,7500,45.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
19,40,60,85,1.094,0.066,0.874,0.01,3.873,0.245,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.85,2.125,1.4166666666666667,3400,5100,8500,51.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
