Target,Feature_set,Model,Validation,N,N_features,R2,MAE,RMSE,Spearman,Feature_list
Pr,core,LinearRegression,Repeated_KFold,40,3,-0.2159935719920962,0.06018797442391183,0.07854480126897256,0.608304378755152,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,LinearRegression,LOFO,40,3,0.04280022910437142,0.06923042956029349,0.0954248335210304,0.4933858732661693,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,SVR_RBF,Repeated_KFold,40,3,-0.5864525637325962,0.06945416033137235,0.08907622242731467,0.45085585712873966,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,SVR_RBF,LOFO,40,3,-1.4036125078334178,0.1253818836973462,0.15121411972355547,-0.026831785463800044,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,RandomForest,Repeated_KFold,40,3,-0.05486648779855324,0.06179157916666653,0.07702195215364077,0.5035055063619103,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,RandomForest,LOFO,40,3,-1.0576176627476421,0.11974600000000075,0.1399079707621338,0.18363517018069872,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,GradientBoosting,Repeated_KFold,40,3,-0.14371460429149177,0.06058986695120279,0.07944622702308676,0.5344011674247134,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,GradientBoosting,LOFO,40,3,-0.992786617117182,0.11978460607043476,0.13768623262996477,0.16359285691917583,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,XGBoost,Repeated_KFold,40,3,-0.18638189479370243,0.06139335459411146,0.07979386950626326,0.4934184447148542,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
Pr,core,XGBoost,LOFO,40,3,-0.695650497262563,0.10987557240724563,0.12700718451917825,0.27251397594080723,"Alg_mg_ml, HA_mg_ml, Pressure_kPa"
