Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label
1,10,80,50,60,2.29017,0.0936253,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
2,10,80,55,60,1.7596,0.0301965,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
3,10,80,60,60,1.80526,0.0412513,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
4,10,80,55,90,1.29597,0.0210961,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
5,10,80,65,60,1.75407,0.0158443,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
6,10,80,60,90,1.28243,0.029433,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
7,10,80,65,90,1.30412,0.0453863,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
8,10,80,70,90,1.38795,0.0513345,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
9,10,80,55,120,1.05256,0.0295853,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
10,10,80,60,120,1.17187,0.022162,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
11,10,80,65,120,1.17573,0.0194448,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
12,10,80,70,120,1.28156,0.0144789,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA
13,20,80,75,60,2.04975,0.016115,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
14,20,80,85,60,1.87831,0.0167196,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
15,20,80,95,60,1.74885,0.0334194,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
16,20,80,85,90,1.4926,0.0162292,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
17,20,80,95,90,1.39505,0.0125334,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
18,20,80,105,90,1.44103,0.00846958,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
19,20,80,115,90,1.42223,0.00551604,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
20,20,80,75,120,1.2125,0.0185018,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
21,20,80,85,120,1.19111,0.0182752,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
22,20,80,95,120,1.16533,0.0153714,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
23,20,80,105,120,1.16534,0.0191255,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
24,20,80,115,120,1.20579,0.0158535,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA
25,40,40,50,60,1.80422,0.0482703,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
26,40,40,55,60,2.44505,0.0673524,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
27,40,40,65,60,2.14773,0.0410755,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
28,40,40,55,90,1.55854,0.0404212,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
29,40,40,60,90,1.38725,0.0237332,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
30,40,40,65,90,1.36564,0.0275376,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
31,40,40,70,90,1.52016,0.00885943,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
32,40,40,50,120,1.21458,0.031865,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
33,40,40,55,120,1.18475,0.0251478,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
34,40,40,60,120,1.00068,0.028701,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
35,40,40,65,120,1.15143,0.053961,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
36,40,40,70,120,1.18045,0.020291,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA
37,40,60,75,60,1.97211,0.115179,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
38,40,60,85,60,2.18925,0.0312527,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
39,40,60,95,60,1.94988,0.0269887,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
40,40,60,65,90,1.45212,0.0365994,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
41,40,60,75,90,1.42363,0.0644926,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
42,40,60,95,90,1.35048,0.0178555,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
43,40,60,105,120,1.23805,0.0418633,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
44,40,60,75,120,1.18126,0.0479477,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA
