Alg_mg_ml,HA_mg_ml,Formulation_label,Pressure_kPa,AF_mean_pred,AF_max_pred,AF_min_pred,AF_mean_error_from_1,AF_max_error_from_1,AF_fraction_within_1p00_1p25
10,80,1ALG8HA,50,1.7389445,2.2094,1.3800651,0.73894453,1.2093999,0.0
10,80,1ALG8HA,55,1.4031852,1.7917377,1.1144252,0.40318528,0.7917377,0.3333333333333333
10,80,1ALG8HA,60,1.419521,1.8062418,1.1369022,0.41952097,0.80624175,0.3333333333333333
10,80,1ALG8HA,65,1.4427818,1.8250843,1.1648701,0.4427818,0.8250843,0.3333333333333333
10,80,1ALG8HA,70,1.4698305,1.8442876,1.1988354,0.4698305,0.84428763,0.3333333333333333
20,80,2ALG8HA,75,1.528122,1.9673358,1.2118254,0.5281219,0.9673358,0.3333333333333333
20,80,2ALG8HA,80,1.528122,1.9673358,1.2118254,0.5281219,0.9673358,0.3333333333333333
20,80,2ALG8HA,85,1.5193557,1.9536715,1.2042123,0.5193556,0.95367146,0.3333333333333333
20,80,2ALG8HA,90,1.4982963,1.8974327,1.2007427,0.49829626,0.8974327,0.3333333333333333
20,80,2ALG8HA,95,1.4859339,1.881754,1.1900384,0.48593387,0.88175404,0.3333333333333333
20,80,2ALG8HA,100,1.435784,1.7332686,1.1890563,0.43578395,0.7332686,0.3333333333333333
20,80,2ALG8HA,105,1.435173,1.7022624,1.2017474,0.43517303,0.7022624,0.3333333333333333
20,80,2ALG8HA,110,1.4660587,1.731802,1.2392632,0.46605882,0.731802,0.3333333333333333
20,80,2ALG8HA,115,1.443975,1.7097181,1.2171793,0.44397494,0.7097181,0.3333333333333333
40,40,4ALG4HA,50,1.5301665,1.9359576,1.1591487,0.53016645,0.93595755,0.3333333333333333
40,40,4ALG4HA,55,1.6665565,2.2292302,1.1947907,0.66655654,1.2292302,0.3333333333333333
40,40,4ALG4HA,60,1.5593472,2.13245,1.1109327,0.55934715,1.1324501,0.3333333333333333
40,40,4ALG4HA,65,1.5838565,2.167129,1.1511781,0.58385646,1.167129,0.3333333333333333
40,40,4ALG4HA,70,1.6014428,2.1476407,1.1890312,0.6014428,1.1476407,0.3333333333333333
40,60,4ALG6HA,65,1.5453109,2.058999,1.188692,0.54531085,1.0589991,0.3333333333333333
40,60,4ALG6HA,70,1.5354635,2.0084615,1.1991898,0.5354635,1.0084615,0.3333333333333333
40,60,4ALG6HA,75,1.5354635,2.0084615,1.1991898,0.5354635,1.0084615,0.3333333333333333
40,60,4ALG6HA,80,1.5440016,2.0316336,1.2004108,0.54400164,1.0316336,0.3333333333333333
40,60,4ALG6HA,85,1.5593334,2.0573792,1.209996,0.5593335,1.0573792,0.3333333333333333
40,60,4ALG6HA,90,1.4893991,1.9522651,1.1576514,0.4893991,0.95226514,0.3333333333333333
40,60,4ALG6HA,95,1.5027372,1.9656032,1.1709895,0.5027372,0.96560323,0.3333333333333333
40,60,4ALG6HA,100,1.4551147,1.7991979,1.1827583,0.45511463,0.7991979,0.3333333333333333
40,60,4ALG6HA,105,1.4621307,1.8072647,1.187673,0.4621307,0.8072647,0.3333333333333333
40,80,4ALG8HA,110,1.4823517,1.8133409,1.2184224,0.48235157,0.8133409,0.3333333333333333
40,80,4ALG8HA,115,1.4516593,1.7826487,1.1877302,0.45165935,0.7826487,0.3333333333333333
40,80,4ALG8HA,120,1.4101268,1.7310718,1.1512198,0.41012684,0.7310718,0.3333333333333333
40,80,4ALG8HA,130,1.4574827,1.8083937,1.1867917,0.45748267,0.8083937,0.3333333333333333
40,80,4ALG8HA,140,1.4592752,1.8101863,1.1885842,0.45927522,0.81018627,0.3333333333333333
40,80,4ALG8HA,145,1.4908934,1.843153,1.2176628,0.49089345,0.843153,0.3333333333333333
40,80,4ALG8HA,150,1.5073677,1.8427309,1.2371502,0.5073677,0.8427309,0.3333333333333333
60,20,6ALG2HA,50,1.4843239,1.8383286,1.1304842,0.4843239,0.8383286,0.3333333333333333
60,20,6ALG2HA,55,1.5858129,2.026619,1.1742917,0.5858129,1.026619,0.3333333333333333
60,20,6ALG2HA,60,1.5644164,2.0385768,1.1631283,0.5644164,1.0385768,0.3333333333333333
60,20,6ALG2HA,65,1.6487347,2.1958663,1.2230914,0.64873475,1.1958663,0.3333333333333333
60,20,6ALG2HA,70,1.6822516,2.218317,1.2627467,0.68225163,1.218317,0.0
60,40,6ALG4HA,85,1.5864339,2.1685483,1.195062,0.58643395,1.1685483,0.3333333333333333
60,40,6ALG4HA,90,1.5653747,2.11231,1.1915925,0.56537473,1.1123099,0.3333333333333333
60,40,6ALG4HA,95,1.5680636,2.1188018,1.1914481,0.56806356,1.1188018,0.3333333333333333
60,40,6ALG4HA,100,1.4243942,1.7684379,1.148948,0.42439434,0.76843786,0.3333333333333333
60,40,6ALG4HA,105,1.4191132,1.7458096,1.149447,0.41911307,0.74580956,0.3333333333333333
60,60,6ALG6HA,140,1.3843852,1.6612924,1.1451032,0.38438532,0.66129243,0.3333333333333333
60,60,6ALG6HA,145,1.4655037,1.7350557,1.2263784,0.46550378,0.7350557,0.3333333333333333
60,60,6ALG6HA,150,1.5312544,1.77938,1.3008702,0.5312545,0.77937996,0.0
60,60,6ALG6HA,155,1.5308775,1.77938,1.3008702,0.53087753,0.77937996,0.0
60,60,6ALG6HA,160,1.4997343,1.7585561,1.2459358,0.4997342,0.7585561,0.3333333333333333
