Alg_mg_ml,HA_mg_ml,Pressure_kPa,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa,Predicted_Pr,Predicted_SR,Predicted_Qm,Pr_error_from_ideal_1,Pr_within_0p95_1p05,Pr_within_0p90_1p10,Best_angle_deg,Best_angle_predicted_AF,Best_angle_AF_error_from_1,Best_angle_AF_within_1p00_1p25,Pr_good_0p90_1p10,Pr_strict_0p95_1p05,AF_good_best_angle,Angle_specific_combined_error,Recommended_candidate,Strict_candidate
10,80,65,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446,1.0010555274309605,4.6926555913069805,0.6851268150572889,0.00105552743096049,True,True,120.0,1.1648701,0.16487014,True,True,True,True,0.16592567036766703,True,True
40,60,105,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,1.05,2.625,1.75,4200,6300,10500,63.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839,1.01289037854441,5.329181057286091,2.497064892986103,0.012890378544410108,True,True,120.0,1.187673,0.18767297,True,True,True,True,0.2005633512235483,True,True
40,80,130,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.0833333333333333,3.25,1.625,5200,10400,15600,86.66666666666666,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233,1.017334569551492,3.462731210796452,1.2129211589971147,0.01733456955149193,True,True,120.0,1.1867917,0.18679166,True,True,True,True,0.2041262279529812,True,True
40,80,140,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.1666666666666667,3.5,1.75,5600,11200,16800,93.33333333333333,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233,0.9833903472597482,3.9368315631056126,1.4127021272338491,0.016609652740251835,True,True,120.0,1.1885842,0.18858421,True,True,True,True,0.2051938612287162,True,True
20,80,90,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.9,4.5,1.125,1800,7200,9000,72.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333,0.9951671340405563,4.469707486844542,0.6176363166295278,0.004832865959443655,True,True,120.0,1.2007427,0.20074272,True,True,True,True,0.20557558751706084,True,True
20,80,95,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.95,4.75,1.1875,1900,7600,9500,76.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333,0.9781950228946845,4.7165903257006665,0.8008031555578343,0.02180497710531548,True,True,120.0,1.1900384,0.19003844,True,True,True,True,0.21184341971700982,True,True
40,60,100,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,1.0,2.5,1.6666666666666667,4000,6000,10000,60.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839,1.029862489690282,4.959095294282095,2.1300285261618805,0.029862489690281935,True,True,120.0,1.1827583,0.18275833,True,True,True,True,0.21262082098911006,True,True
10,80,70,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7777777777777778,7.0,0.875,700,5600,6300,62.22222222222222,800,0.09876543209876543,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446,0.9840834162850887,5.138802701912471,0.8867730928094772,0.015916583714911337,True,True,120.0,1.1988354,0.19883537,True,True,True,True,0.21475195663971602,True,True
20,80,85,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.85,4.25,1.0625,1700,6800,8500,68.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333,1.0121392451864282,4.239593990064691,0.4571240910574027,0.012139245186428171,True,True,120.0,1.2042123,0.20421231,True,True,True,True,0.21635155311642085,True,True
40,60,95,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,100,10.0,0.6,0.4,0.6666666666666666,0.95,2.375,1.5833333333333333,3800,5700,9500,57.0,2400,0.24,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839,1.0468346008361538,4.611321731553966,1.7619958173580947,0.04683460083615376,True,True,120.0,1.1709895,0.17098951,True,True,True,True,0.21782411423337056,True,True
20,80,100,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.0,5.0,1.25,2000,8000,10000,80.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333,0.9612229117488127,4.972013187327535,0.9928000502340028,0.03877708825118731,True,True,120.0,1.1890563,0.18905628,True,True,True,True,0.22783336552627276,True,True
40,40,70,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.875,1.75,1.75,2800,2800,5600,35.0,1600,0.25,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007,1.0423904098290722,5.608472923884843,2.2994670618219546,0.04239040982907216,True,True,120.0,1.1890312,0.18903124,True,True,True,True,0.23142165315335195,True,True
20,80,80,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.8,4.0,1.0,1600,6400,8000,64.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333,1.0291113563323,4.033264881220276,0.3308929667079801,0.029111356332299998,True,True,120.0,1.2118254,0.21182537,True,True,True,True,0.24093672712087422,True,True
40,80,145,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,120,12.0,0.6666666666666666,0.3333333333333333,0.5,1.2083333333333333,3.625,1.8125,5800,11600,17400,96.66666666666666,3200,0.2222222222222222,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233,0.9664182361138763,4.1989555546851305,1.4957333558180268,0.03358176388612366,True,True,120.0,1.2176628,0.21766281,True,True,True,True,0.25124457516542054,True,True
20,80,75,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.75,3.75,0.9375,1500,6000,7500,60.0,1600,0.16000000000000003,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333,1.0460834674781718,3.856177217715483,0.24693063174004792,0.046083467478171825,True,True,120.0,1.2118254,0.21182537,True,True,True,True,0.25790883826674604,True,True
60,60,145,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.2083333333333333,2.4166666666666665,2.4166666666666665,8700,8700,17400,72.5,3600,0.25,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819,1.0350578140553455,4.619035118997706,0.7355460157257496,0.03505781405534547,True,True,120.0,1.2263784,0.22637844,True,True,True,True,0.26143625491227906,True,True
60,60,160,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,120,12.0,0.5,0.5,1.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,9600,9600,19200,80.0,3600,0.25,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819,0.98414148061773,4.955997387177334,0.9768163491404174,0.01585851938227001,True,True,120.0,1.2459358,0.2459358,True,True,True,True,0.2617943170736152,True,True
