Formulation_label,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Best_angle_deg,Predicted_Pr,Predicted_SR,Predicted_Qm,Best_angle_predicted_AF,Angle_specific_combined_error
1ALG8HA,10,80,65,120.0,1.0010555274309605,4.6926555913069805,0.6851268150572889,1.1648701,0.16592567036766703
4ALG6HA,40,60,105,120.0,1.01289037854441,5.329181057286091,2.497064892986103,1.187673,0.2005633512235483
4ALG8HA,40,80,130,120.0,1.017334569551492,3.462731210796452,1.2129211589971147,1.1867917,0.2041262279529812
4ALG8HA,40,80,140,120.0,0.9833903472597482,3.9368315631056126,1.4127021272338491,1.1885842,0.2051938612287162
2ALG8HA,20,80,90,120.0,0.9951671340405563,4.469707486844542,0.6176363166295278,1.2007427,0.20557558751706084
2ALG8HA,20,80,95,120.0,0.9781950228946845,4.7165903257006665,0.8008031555578343,1.1900384,0.21184341971700982
4ALG6HA,40,60,100,120.0,1.029862489690282,4.959095294282095,2.1300285261618805,1.1827583,0.21262082098911006
1ALG8HA,10,80,70,120.0,0.9840834162850887,5.138802701912471,0.8867730928094772,1.1988354,0.21475195663971602
2ALG8HA,20,80,85,120.0,1.0121392451864282,4.239593990064691,0.4571240910574027,1.2042123,0.21635155311642085
4ALG6HA,40,60,95,120.0,1.0468346008361538,4.611321731553966,1.7619958173580947,1.1709895,0.21782411423337056
2ALG8HA,20,80,100,120.0,0.9612229117488127,4.972013187327535,0.9928000502340028,1.1890563,0.22783336552627276
4ALG4HA,40,40,70,120.0,1.0423904098290722,5.608472923884843,2.2994670618219546,1.1890312,0.23142165315335195
2ALG8HA,20,80,80,120.0,1.0291113563323,4.033264881220276,0.3308929667079801,1.2118254,0.24093672712087422
4ALG8HA,40,80,145,120.0,0.9664182361138763,4.1989555546851305,1.4957333558180268,1.2176628,0.25124457516542054
2ALG8HA,20,80,75,120.0,1.0460834674781718,3.856177217715483,0.24693063174004792,1.2118254,0.25790883826674604
6ALG6HA,60,60,145,120.0,1.0350578140553455,4.619035118997706,0.7355460157257496,1.2263784,0.26143625491227906
6ALG6HA,60,60,160,120.0,0.98414148061773,4.955997387177334,0.9768163491404174,1.2459358,0.2617943170736152
