Held_out_formulation,N_test,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
1ALG8HA,5,-1.3556005502782122,0.03842992323439083,0.06334527765639608,-0.09999999999999999,Pr,Pr_mean,core,LinearRegression
2ALG8HA,5,0.5900312618924517,0.039071373913043515,0.05237007984471093,0.9999999999999999,Pr,Pr_mean,core,LinearRegression
4ALG4HA,5,-1.451230457194209,0.052856056260341934,0.05943993213136649,0.49999999999999994,Pr,Pr_mean,core,LinearRegression
4ALG6HA,5,-0.7865749575445857,0.05785514343762697,0.0824187105005758,0.3,Pr,Pr_mean,core,LinearRegression
4ALG8HA,5,-2.4370181154560866,0.05712745127436294,0.07526639846983076,0.6,Pr,Pr_mean,core,LinearRegression
6ALG2HA,5,-3.33343078105057,0.08074804943993827,0.09168512620001756,0.09999999999999999,Pr,Pr_mean,core,LinearRegression
6ALG4HA,5,-2.1572065985134286,0.16265553994732213,0.19090712425312892,0.49999999999999994,Pr,Pr_mean,core,LinearRegression
6ALG6HA,5,-16.2220104590957,0.06509989897532123,0.07245183771259606,-0.3,Pr,Pr_mean,core,LinearRegression
1ALG8HA,5,-8.92184066016023,0.11985175948935944,0.13000484704095966,-0.09999999999999999,Pr,Pr_mean,core,SVR_RBF
2ALG8HA,5,-1.6797135267848997,0.11192902424537207,0.13389120486434752,-0.9999999999999999,Pr,Pr_mean,core,SVR_RBF
4ALG4HA,5,-1.0095446997887403,0.047632461546086934,0.05381893113475505,-0.49999999999999994,Pr,Pr_mean,core,SVR_RBF
4ALG6HA,5,-1.547810005478853,0.07652959566225612,0.098423479365604,0.3,Pr,Pr_mean,core,SVR_RBF
4ALG8HA,5,-13.725652127938156,0.14168706081888305,0.15579283957664034,0.6,Pr,Pr_mean,core,SVR_RBF
6ALG2HA,5,-21.86696405417011,0.2054105370694744,0.21061398707313198,0.09999999999999999,Pr,Pr_mean,core,SVR_RBF
6ALG4HA,5,-4.120784953144348,0.22219267320734196,0.24313019801151212,0.49999999999999994,Pr,Pr_mean,core,SVR_RBF
6ALG6HA,5,-24.49853280104294,0.07782195753999574,0.08815867965071772,-0.3,Pr,Pr_mean,core,SVR_RBF
1ALG8HA,5,-2.1422479589619026,0.06185248571428563,0.07316167619193847,0.7,Pr,Pr_mean,core,RandomForest
2ALG8HA,5,-0.37211066009605,0.08009674417989428,0.09580814567841793,-0.09999999999999999,Pr,Pr_mean,core,RandomForest
4ALG4HA,5,-13.787376201314787,0.1415973703703698,0.1459929195595702,0.15389675281277312,Pr,Pr_mean,core,RandomForest
4ALG6HA,5,-0.017951213958433465,0.05914247433862414,0.062212646525157546,0.3,Pr,Pr_mean,core,RandomForest
