Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa
1,10,80,50,60,2.29017,0.0936253,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.5555555555555556,5.0,0.625,500,4000,4500,44.44444444444444,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3000,600,4800,5400,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
2,10,80,55,60,1.7596,0.0301965,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6111111111111112,5.5,0.6875,550,4400,4950,48.888888888888886,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3300,600,4800,5400,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
3,10,80,60,60,1.80526,0.0412513,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6666666666666666,6.0,0.75,600,4800,5400,53.33333333333333,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3600,600,4800,5400,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
4,10,80,55,90,1.29597,0.0210961,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6111111111111112,5.5,0.6875,550,4400,4950,48.888888888888886,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,4950,900,7200,8100,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
5,10,80,65,60,1.75407,0.0158443,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,1.0471975511965976,0.8660254037844386,0.5000000000000001,3900,600,4800,5400,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
6,10,80,60,90,1.28243,0.029433,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6666666666666666,6.0,0.75,600,4800,5400,53.33333333333333,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,5400,900,7200,8100,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
7,10,80,65,90,1.30412,0.0453863,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7222222222222222,6.5,0.8125,650,5200,5850,57.77777777777777,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,5850,900,7200,8100,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
8,10,80,70,90,1.38795,0.0513345,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.7777777777777778,7.0,0.875,700,5600,6300,62.22222222222222,800,0.09876543209876543,1.5707963267948966,1.0,6.123233995736766e-17,6300,900,7200,8100,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
9,10,80,55,120,1.05256,0.0295853,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6111111111111112,5.5,0.6875,550,4400,4950,48.888888888888886,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,6600,1200,9600,10800,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
10,10,80,60,120,1.17187,0.022162,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,90,9.0,0.8888888888888888,0.1111111111111111,0.125,0.6666666666666666,6.0,0.75,600,4800,5400,53.33333333333333,800,0.09876543209876543,2.0943951023931953,0.8660254037844387,-0.4999999999999998,7200,1200,9600,10800,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
