Target,Target_column,Feature_set,Model,N,N_features,N_formulations,LOFO_R2,LOFO_MAE,LOFO_RMSE,LOFO_Spearman,LOFO_group_MAE_mean,LOFO_group_MAE_std,LOFO_group_RMSE_mean,LOFO_group_RMSE_std
Pr,Pr_mean,core,LinearRegression,40,3,8,0.04280022910437142,0.06923042956029349,0.0954248335210304,0.4933858732661693,0.06923042956029349,0.040142971716510906,0.08598556084607782,0.04423808544684178
Pr,Pr_mean,core,SVR_RBF,40,3,8,-1.4036125078334178,0.1253818836973462,0.15121411972355547,-0.026831785463800044,0.1253818836973462,0.062045835701716436,0.13922927083970854,0.06307292962651909
Pr,Pr_mean,core,RandomForest,40,3,8,-0.7574638601572177,0.10543135221560818,0.12930142748441417,0.10898765136883315,0.10543135221560818,0.06070770564059357,0.11516117613712454,0.06285368642646097
Pr,Pr_mean,core,GradientBoosting,40,3,8,-1.0839334183966711,0.12039088150192678,0.1407997998763231,0.238448640090881,0.12039088150192677,0.05595565576978266,0.13093592976945012,0.055346864054896125
Pr,Pr_mean,core,XGBoost,40,3,8,-0.6071702378454586,0.10371611919403075,0.12364912819279444,0.35726690181459714,0.10371611919403076,0.048681834723600576,0.1141999243584517,0.050680897267533824
Pr,Pr_mean,engineered,LinearRegression,40,17,8,-228676.50069423206,20.687530106981747,46.641427773539164,0.18988648174381567,20.687530106981743,44.61643445856804,20.74739118727529,44.65702368274948
Pr,Pr_mean,engineered,SVR_RBF,40,17,8,-0.33727135532498487,0.08518577506266758,0.11278981620469065,0.22047096447528008,0.08518577506266758,0.050245041541264815,0.09891821539719559,0.057933255212942285
Pr,Pr_mean,engineered,RandomForest,40,17,8,-0.24889080279317533,0.08739830830026425,0.1089989593547555,0.2870813409763221,0.08739830830026425,0.04672784611484788,0.09753941582679693,0.05200918051472767
Pr,Pr_mean,engineered,GradientBoosting,40,17,8,-0.9605629930163366,0.10856856516655325,0.13656849338827748,0.25737743401536345,0.10856856516655325,0.07034069727327782,0.12006575514268816,0.06957148700322602
Pr,Pr_mean,engineered,XGBoost,40,17,8,-1.1213911605493823,0.11900834704637527,0.1420595698774845,0.2122349408894727,0.11900834704637528,0.06359421020474501,0.1298211603870501,0.06166626963663332
Pr,Pr_mean,rheology_enhanced,LinearRegression,40,23,8,-225147.27874498765,20.38193859766748,46.28011543414506,0.054414110381132946,20.38193859766748,44.34625991980496,20.435216225460813,44.39113196402382
Pr,Pr_mean,rheology_enhanced,SVR_RBF,40,23,8,-0.4625815078397666,0.08406151509920917,0.11795603265187486,0.23182287370996468,0.08406151509920917,0.06084953120115076,0.09979772879773569,0.06722277646141558
Pr,Pr_mean,rheology_enhanced,RandomForest,40,23,8,0.006767943617240868,0.07265720925925911,0.09720430106889597,0.389454426473464,0.07265720925925911,0.04716684375716376,0.08320502111894383,0.05372523330416594
Pr,Pr_mean,rheology_enhanced,GradientBoosting,40,23,8,-0.4765029980798232,0.08870049285031092,0.11851608165524728,0.3493806367843885,0.08870049285031092,0.06629600872306314,0.09984172984458706,0.06826578806445736
Pr,Pr_mean,rheology_enhanced,XGBoost,40,23,8,-0.6914233374314036,0.09853193674087524,0.12684877490297328,0.3170857571777069,0.09853193674087524,0.0678185578151874,0.10995533421820984,0.06761602659849182
SR,SR_mean,core,LinearRegression,43,3,8,-0.15637687184301186,1.0757089183182422,1.3752370645092387,0.2848082150407732,1.0692477265340494,0.4522940036870221,1.2721580976716549,0.5235910002830346
SR,SR_mean,core,SVR_RBF,43,3,8,-0.15414866972408392,1.1500332460991913,1.3739114656586318,0.1546360616128058,1.1468980889396225,0.37837478268688646,1.3155460343176757,0.4020502334119325
SR,SR_mean,core,RandomForest,43,3,8,-0.22186061998638262,1.1411512962347732,1.4136396054296092,0.03680194727234817,1.133344743667328,0.41228654678960197,1.3382798122432167,0.47464569332274925
SR,SR_mean,core,GradientBoosting,43,3,8,-0.2621496937371792,1.1151616143749965,1.4367569390464934,0.14965628745144174,1.0945505591313403,0.6200007824644935,1.261796199175567,0.7049686487133411
SR,SR_mean,core,XGBoost,43,3,8,-0.14703469953432702,1.0910537595527117,1.3696706458595083,0.15158610963691976,1.0857255888938904,0.4681861344059331,1.264798521518175,0.5473513574349154
SR,SR_mean,engineered,LinearRegression,43,17,8,-68117.7199693566,169.42054509650103,333.7806141465732,-0.26260948353971614,175.1376719770187,315.5423485676883,175.7091593937078,315.72287130163335
SR,SR_mean,engineered,SVR_RBF,43,17,8,0.4246387580594403,0.7967997755630651,0.9700590501440217,0.660676532769556,0.7816051369400897,0.21738838605958802,0.9204723753929329,0.2660096544840845
SR,SR_mean,engineered,RandomForest,43,17,8,-0.3610828093020262,1.2047280376830325,1.4920045397932493,-0.07747196743543824,1.2157629818507503,0.39155571688290935,1.4582519293521756,0.3726873938166417
SR,SR_mean,engineered,GradientBoosting,43,17,8,-0.9615011980127381,1.4450946897533319,1.7911095893313382,0.00981761902480554,1.4455273736482133,0.5813679359093659,1.6746332087734934,0.6701225387488404
SR,SR_mean,engineered,XGBoost,43,17,8,-0.9243414979705418,1.33410128300689,1.7740626102317059,-0.09711890819923018,1.3486727121750515,0.6969820857272512,1.659098724301159,0.6936587029201238
SR,SR_mean,rheology_enhanced,LinearRegression,43,23,8,-61625.81505953578,136.43803267844362,317.4773393001317,-0.3088190878888553,145.22433787890157,315.1926921462369,145.8285459724071,315.4180719231662
SR,SR_mean,rheology_enhanced,SVR_RBF,43,23,8,0.4435076467018192,0.7867086279577801,0.9540199811658077,0.6923890063424947,0.7763895750348971,0.23820225962671487,0.9104733297542241,0.2556351160506976
SR,SR_mean,rheology_enhanced,RandomForest,43,23,8,-0.21525654302569897,1.134333669189123,1.4098141143589864,-0.030052478595813278,1.1400719514936073,0.427460475343251,1.351721164701574,0.4413660127732133
SR,SR_mean,rheology_enhanced,GradientBoosting,43,23,8,-0.799706063625474,1.3421041534202673,1.715649863828583,-0.032624703220892254,1.351840683729109,0.6188634857915946,1.5980352063685634,0.682061657752794
SR,SR_mean,rheology_enhanced,XGBoost,43,23,8,-0.7605812521050903,1.2619263473333315,1.696898659625166,-0.03549044788491807,1.2687693693796795,0.6539963057947351,1.5722672934431239,0.6843646394004049
Qm,Qm_mean_mg_s,core,LinearRegression,40,3,8,-0.49820668963307235,0.6865873322083812,0.8134573668887585,0.17748592870544094,0.6865873322083812,0.29966937368799074,0.7546503105191409,0.3246374621089218
Qm,Qm_mean_mg_s,core,SVR_RBF,40,3,8,-0.36918980552669267,0.647488511996171,0.7776438810815902,0.29174484052532834,0.647488511996171,0.3542006553905225,0.6949543952925255,0.37304675194900344
Qm,Qm_mean_mg_s,core,RandomForest,40,3,8,-0.29802773634094804,0.6001197939454066,0.757165673797571,0.07550718544019121,0.6001197939454066,0.2910229701478941,0.6886456591327699,0.33648097162912916
Qm,Qm_mean_mg_s,core,GradientBoosting,40,3,8,-1.274692378337761,0.8752343724292475,1.002328933200604,0.18773490509321175,0.8752343724292474,0.36972675837537433,0.9406978585739778,0.36994336123310784
Qm,Qm_mean_mg_s,core,XGBoost,40,3,8,-0.6877385908004561,0.7189513950236142,0.8633790794514639,0.20268635377312436,0.7189513950236142,0.26442134198078426,0.812947070876778,0.310833891859254
Qm,Qm_mean_mg_s,engineered,LinearRegression,40,17,8,-84833.47058677494,92.16010191455408,193.56868852596105,-0.009568480300187619,92.16010191455408,181.66952994969412,92.35934662780394,181.85893518453307
Qm,Qm_mean_mg_s,engineered,SVR_RBF,40,17,8,-0.4232579051926084,0.6414872533844249,0.7928494568116743,0.1803001876172608,0.641487253384425,0.32625071017829466,0.7265108951951212,0.33939808961386847
Qm,Qm_mean_mg_s,engineered,RandomForest,40,17,8,-0.8970303957538261,0.7794960115410051,0.9153476595402058,-0.09259780507961762,0.7794960115410051,0.30843602644515455,0.8609882952244629,0.33219700404980124
Qm,Qm_mean_mg_s,engineered,GradientBoosting,40,17,8,-1.9553040830089703,0.9238540800313103,1.1424837129181946,0.0361180168322663,0.9238540800313103,0.6094951877187804,1.0024307587963008,0.5859318420649436
Qm,Qm_mean_mg_s,engineered,XGBoost,40,17,8,-0.8961689246195794,0.7824336463809013,0.9151397991044139,0.06210131332082553,0.7824336463809014,0.36658708196207135,0.8479996230692051,0.3678159340591874
Qm,Qm_mean_mg_s,rheology_enhanced,LinearRegression,40,23,8,-83253.59524795998,85.39709298048943,191.7577995830901,0.008630393996247657,85.39709298048945,183.2449672411079,85.61659315406557,183.43033766104628
Qm,Qm_mean_mg_s,rheology_enhanced,SVR_RBF,40,23,8,-1.3729504629969878,0.8552949325365727,1.0237484723264632,-0.09906191369606004,0.8552949325365725,0.43608242632797595,0.9332767545642622,0.4498322658576069
Qm,Qm_mean_mg_s,rheology_enhanced,RandomForest,40,23,8,-1.5467150313836755,0.9046076867604617,1.0605694340546166,-0.25234521575985,0.9046076867604615,0.4231744088861998,0.9851785719226993,0.41983766369569975
Qm,Qm_mean_mg_s,rheology_enhanced,GradientBoosting,40,23,8,-2.927085424778842,1.1592186646406801,1.3169949354588368,-0.09794539868603931,1.1592186646406801,0.5374060070802498,1.2293741218537362,0.5049638499542944
Qm,Qm_mean_mg_s,rheology_enhanced,XGBoost,40,23,8,-1.8998614855166345,0.9991670007109642,1.1317162650157764,-0.05460686904176335,0.9991670007109642,0.4177363954247284,1.0671899941342335,0.40268700489307224
AF,AF_mean,core,LinearRegression,96,3,8,-0.025728573600727778,0.2713700063401499,0.3342247335620241,-0.0897001901785608,0.27361722031053587,0.04597753875397862,0.3314544888712861,0.05967674566252641
AF,AF_mean,core,SVR_RBF,96,3,8,-0.5275230370821573,0.3135981011179871,0.407864816193017,0.01448528144854605,0.31843197027299075,0.07398902913812308,0.40264657945769367,0.10735186381930667
AF,AF_mean,core,RandomForest,96,3,8,-0.0957624624470792,0.2745411330665621,0.34544631814363225,-0.040237992265135684,0.2762124217391723,0.055785816867900545,0.3409917529191007,0.06943635545637104
AF,AF_mean,core,GradientBoosting,96,3,8,-0.25333094627431163,0.29293973489058206,0.36944963377675377,-0.09500827020176789,0.29346711166242656,0.07359788210448523,0.35867291990420874,0.09390217906666029
AF,AF_mean,core,XGBoost,96,3,8,-0.12302799587856672,0.27587138804435735,0.3497177296491675,-0.05339870614517313,0.2775443847268286,0.055421004655061286,0.34438273160321176,0.07262080390439715
AF,AF_mean,angle_engineered,LinearRegression,96,25,8,-12319.850909628993,21.326520646905596,36.63048846924214,0.18929734129137277,19.40614386957544,30.141144093284602,19.43528654245069,30.170725678114387
AF,AF_mean,angle_engineered,SVR_RBF,96,25,8,0.6922378895893093,0.13908842447529127,0.18307537591221537,0.833654367878459,0.13786673383234951,0.050887548454617855,0.17293791375506784,0.05961596680104119
AF,AF_mean,angle_engineered,RandomForest,96,25,8,0.7759667059319963,0.11470545068218152,0.1561991409821502,0.8556565382528486,0.11431692612944475,0.030155934047619876,0.15138065738388914,0.04264874094409745
AF,AF_mean,angle_engineered,GradientBoosting,96,25,8,0.7591518260841348,0.11603369172193023,0.16195487968950933,0.8684537189503454,0.11428229152558446,0.035079577125316355,0.1557173211604605,0.042346175168904744
