Split,R2,MAE,RMSE,Spearman,Target,Target_column,Feature_set,Model
1,-0.32856691168402863,0.06775557827069884,0.0869150818893671,0.30952380952380953,Pr,Pr_mean,core,LinearRegression
2,0.5997600256042294,0.05188590285827882,0.06150827877591781,0.8333333333333335,Pr,Pr_mean,core,LinearRegression
3,0.5070098771316339,0.044579283872790074,0.06384913855584838,0.8095238095238096,Pr,Pr_mean,core,LinearRegression
4,0.4395960152435876,0.06328026399694041,0.11059963504214841,0.8571428571428572,Pr,Pr_mean,core,LinearRegression
5,-1.8345976922763394,0.054496525245109964,0.06545604946737688,0.4523809523809524,Pr,Pr_mean,core,LinearRegression
6,-0.6755266587295965,0.07570322735749734,0.08615061575851357,0.5628843430992316,Pr,Pr_mean,core,LinearRegression
7,0.3082160656357119,0.09494794360909946,0.131018101009776,0.6904761904761906,Pr,Pr_mean,core,LinearRegression
8,0.3339111354445434,0.0473925760194831,0.055580061388537196,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
9,0.3981643127381489,0.04040750318838203,0.05439453367589856,0.8333333333333335,Pr,Pr_mean,core,LinearRegression
10,-0.11741101504462348,0.039062629702390786,0.04891478647570995,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
11,0.5099799007499253,0.04794416842400234,0.057653988883566626,0.7142857142857144,Pr,Pr_mean,core,LinearRegression
12,0.14270847634318462,0.09934015481146677,0.13939471815217144,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
13,0.3270320638811859,0.045173000335770236,0.05464700555865104,0.6428571428571429,Pr,Pr_mean,core,LinearRegression
14,0.43195120701181744,0.045534517467933217,0.054767059108678295,0.6904761904761906,Pr,Pr_mean,core,LinearRegression
15,-9.979545259957579,0.05596188298473162,0.08982916867304343,0.023809523809523815,Pr,Pr_mean,core,LinearRegression
16,0.32919634231785955,0.08172918161257645,0.12519249083243286,0.880952380952381,Pr,Pr_mean,core,LinearRegression
17,-0.6999224437631701,0.07457256984966017,0.0986435096553122,0.3333333333333334,Pr,Pr_mean,core,LinearRegression
18,0.7093827234146113,0.0376721821836908,0.04091483382046222,0.7857142857142858,Pr,Pr_mean,core,LinearRegression
19,-0.10400417693412556,0.06859982556612501,0.08403922132487804,0.6190476190476191,Pr,Pr_mean,core,LinearRegression
20,0.300755768044066,0.04223291247935085,0.05098127901671561,0.6190476190476191,Pr,Pr_mean,core,LinearRegression
21,-3.137986684059265,0.06703506774624936,0.0949452683982889,0.38095238095238104,Pr,Pr_mean,core,LinearRegression
22,0.3426085942844198,0.055743208338202135,0.06474962308732858,0.5476190476190477,Pr,Pr_mean,core,LinearRegression
23,0.13697317883475413,0.056415748718080874,0.06657666118339355,0.7380952380952381,Pr,Pr_mean,core,LinearRegression
24,0.22338230332631492,0.07749489567519378,0.12496549227899909,0.6190476190476191,Pr,Pr_mean,core,LinearRegression
25,0.4171171040017885,0.06278778944894262,0.066859022797303,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
26,0.6765605606690858,0.025620163071629454,0.03376542327109961,0.880952380952381,Pr,Pr_mean,core,LinearRegression
27,-3.256389921055087,0.07971310435568134,0.09687247121058803,0.6107893935757621,Pr,Pr_mean,core,LinearRegression
28,0.6275269482216884,0.056664137872709144,0.06924398311560018,0.8571428571428572,Pr,Pr_mean,core,LinearRegression
29,-0.07611157506026123,0.10586667792607062,0.13486227244454824,0.4523809523809524,Pr,Pr_mean,core,LinearRegression
30,0.6553174230061996,0.03417743276557225,0.04139734568969508,0.7619047619047621,Pr,Pr_mean,core,LinearRegression
31,0.4360395424707785,0.037704291788533295,0.04561620162442121,0.5509080804800991,Pr,Pr_mean,core,LinearRegression
32,-5.47464045776458,0.10528649448079835,0.11183461914478054,0.7380952380952381,Pr,Pr_mean,core,LinearRegression
33,0.2294217269187221,0.053640905697552047,0.07753734355969784,0.5000000000000001,Pr,Pr_mean,core,LinearRegression
34,0.37209351269389923,0.09079285599545565,0.13043061438815806,0.9761904761904763,Pr,Pr_mean,core,LinearRegression
35,0.5356418878285069,0.03814671220155527,0.04935953473687001,0.7380952380952381,Pr,Pr_mean,core,LinearRegression
36,0.41622051612898026,0.058061260497616396,0.07637202870309474,0.8095238095238096,Pr,Pr_mean,core,LinearRegression
37,-1.2074622067339726,0.06441905548143075,0.07331461318870408,-0.15569141404872366,Pr,Pr_mean,core,LinearRegression
38,0.35492494034607047,0.06728930535170714,0.11314765334615405,0.7857142857142858,Pr,Pr_mean,core,LinearRegression
39,0.005046612802277695,0.054137879822690596,0.07244988210610359,0.5952380952380953,Pr,Pr_mean,core,LinearRegression
40,0.24527470918593564,0.060451528681259456,0.06582746582703113,0.7857142857142858,Pr,Pr_mean,core,LinearRegression
41,-0.028468754530450502,0.04482419971636277,0.05305687014817091,0.6190476190476191,Pr,Pr_mean,core,LinearRegression
42,0.39287046241554135,0.05924031775222027,0.11041629751913658,0.7065994945288229,Pr,Pr_mean,core,LinearRegression
