Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Pr_mean,Pr_std,Qm_mean_mg_s,Qm_std_mg_s,SR_mean,SR_std
1,10,80,65,1.01,0.029,0.735,0.019,3.422,0.283
2,10,80,70,0.959,0.017,0.851,0.019,4.538,0.669
3,10,80,75,0.967,0.042,1.074,0.018,5.597,0.247
4,10,80,80,0.932,0.03,1.375,0.068,6.138,0.485
5,10,80,85,1.049,0.13,1.834,0.103,6.203,0.49
6,10,80,100,,,,,3.589,0.089
7,20,80,75,1.136,0.143,0.293,0.095,3.943,0.124
8,20,80,85,1.014,0.037,0.507,0.011,3.697,0.329
9,20,80,95,0.984,0.038,0.767,0.034,4.767,0.248
10,20,80,105,0.971,0.051,1.144,0.027,4.49,1.711
11,20,80,115,0.883,0.002,1.438,0.102,7.511,0.716
12,40,40,55,1.005,0.035,0.778,0.112,4.142,0.245
13,40,40,60,1.048,0.034,1.134,0.006,4.559,0.305
14,40,40,65,1.098,0.099,1.797,0.171,5.156,0.373
15,40,40,70,0.999,0.081,2.403,0.028,4.706,1.769
16,40,40,75,1.004,0.045,2.881,0.125,7.238,0.35
17,40,40,100,,,,,7.447,0.105
18,40,60,75,0.969,0.038,0.658,0.04,4.586,1.698
19,40,60,85,1.094,0.066,0.874,0.01,3.873,0.245
20,40,60,95,1.034,0.055,1.363,0.065,4.056,0.99
21,40,60,105,1.081,0.127,2.547,0.056,5.379,0.098
22,40,60,115,0.936,0.025,3.336,0.021,6.194,0.384
23,40,80,110,0.985,0.048,0.811,0.039,3.129,0.062
24,40,80,120,1.004,0.047,0.942,0.112,2.796,0.937
25,40,80,130,1.054,0.086,1.163,0.069,3.413,0.107
26,40,80,140,0.981,0.035,1.45,0.15,3.85,0.185
27,40,80,150,0.928,0.018,1.616,0.106,4.56,0.102
28,60,20,55,1.069,0.065,0.395,0.014,4.657,0.233
29,60,20,60,1.081,0.071,0.522,0.007,5.419,0.322
30,60,20,65,1.179,0.072,0.612,0.043,6.059,0.189
31,60,20,70,1.057,0.164,0.769,0.075,6.469,0.286
32,60,20,75,1.076,0.096,1.048,0.122,6.838,0.704
33,60,20,100,,,,,3.074,0.138
34,60,40,85,1.42,0.309,0.506,0.078,5.633,0.427
35,60,40,90,1.194,0.116,0.665,0.008,6.376,0.475
36,60,40,95,1.097,0.111,0.871,0.07,6.424,0.229
37,60,40,100,1.232,0.153,1.084,0.089,6.955,0.077
38,60,40,105,1.177,0.095,1.076,0.055,7.023,0.173
39,60,60,140,0.978,0.049,0.644,0.055,4.431,1.127
40,60,60,145,0.998,0.055,0.689,0.048,3.885,1.844
41,60,60,150,0.986,0.045,0.768,0.105,4.816,0.948
42,60,60,155,0.966,0.046,0.918,0.075,5.536,0.247
43,60,60,160,1.017,0.032,1.027,0.057,4.683,0.258
