Alg_mg_ml,HA_mg_ml,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa
10,20,1.0,2.0,30,3.0,0.6666666666666666,0.3333333333333333,0.5,1ALG2HA,1.6727933333333336,0.6007881543716831,0.7992149999999999,0.015349742896869672,0.0171112,0.0038971938609722767,1.5625600000000002,0.27561919218370856,6.874603333333333,1.0968312187539762,10.94265,1.566354904707103
10,40,1.0,4.0,50,5.0,0.8,0.2,0.25,1ALG4HA,18.578166666666664,8.43107072460748,0.8542066666666667,0.12541906801732078,0.10439316666666666,0.007818017880724847,31.594533333333334,5.558498732871433,68.18,11.034646152913105,108.44666666666667,23.064914509560474
10,60,1.0,6.0,70,7.0,0.8571428571428571,0.14285714285714285,0.16666666666666666,1ALG6HA,105.35186666666668,19.808438041736995,0.8359960000000001,0.04273791116795479,0.18792666666666666,0.022119965785085044,108.12006666666666,16.4837417418902,184.888,26.420417918723395,335.64000000000004,56.88579760361984
10,80,1.0,8.0,90,9.0,0.8888888888888888,0.1111111111111111,0.125,1ALG8HA,211.54033333333334,26.232762765925603,0.778182,0.019232961264454344,0.311391,0.028291408890332784,261.3093333333333,57.265855667520874,339.64799999999997,75.10930613445981,570.3046666666667,39.00330691535446
20,20,2.0,2.0,40,4.0,0.5,0.5,1.0,2ALG2HA,10.493313333333333,0.870789888855706,0.732363,0.03037691595603479,0.027235033333333335,0.005899635410204036,23.1844,3.3626975168754036,66.56756666666666,7.502290863685129,123.28666666666668,11.143090430097633
20,40,2.0,4.0,60,6.0,0.6666666666666666,0.3333333333333333,0.5,2ALG4HA,49.85660000000001,13.597380195096406,0.8581263333333333,0.10219381449155003,0.08063569999999999,0.006532325536897255,77.193,20.103941765733406,148.53599999999997,23.439513710826002,263.2613333333333,73.97159006222141
20,60,2.0,6.0,80,8.0,0.75,0.25,0.3333333333333333,2ALG6HA,62.60136666666667,13.970661312312071,0.760439,0.08665625256148571,0.135925,0.027730146249163572,142.6833333333333,25.74863965986035,226.42566666666667,34.53368825268065,460.10200000000003,36.16609090017882
20,80,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
40,20,4.0,2.0,60,6.0,0.3333333333333333,0.6666666666666666,2.0,4ALG2HA,26.911533333333335,4.282710143511155,0.7833946666666667,0.05189499854835076,0.04840133333333333,0.0016751336434247038,49.8782,16.94038228936998,122.56689999999999,35.46075826642742,221.00266666666667,36.54538417274245
40,40,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
40,60,4.0,6.0,100,10.0,0.6,0.4,0.6666666666666666,4ALG6HA,282.372,32.09102315290056,0.6263533333333333,0.1265319256406593,0.6336433333333333,0.3047039019512769,343.8516666666667,10.256394363192799,480.3396666666667,10.669135735069325,557.345,39.86543601918839
40,80,4.0,8.0,120,12.0,0.6666666666666666,0.3333333333333333,0.5,4ALG8HA,592.6103333333334,148.4237045499583,0.83208,0.03255780811111217,0.672298,0.1917997737772388,476.7703333333333,12.100630162654051,577.1643333333333,11.709402817109474,567.7743333333333,19.17413644296233
60,20,6.0,2.0,80,8.0,0.25,0.75,3.0,6ALG2HA,55.21086666666667,21.06547381008396,0.5632186666666666,0.07190775624599433,0.18346433333333334,0.07726714006829381,69.5827,1.79429821378722,156.4706666666667,4.213302782062233,347.0943333333333,29.410819987435485
60,40,6.0,4.0,100,10.0,0.4,0.6,1.5,6ALG4HA,245.63666666666666,80.74469995196796,0.6345706666666667,0.0644900660127848,0.7346953333333333,0.5109673616830466,239.34633333333332,37.14453368038607,352.2513333333333,52.609824598959996,552.6129999999999,26.21128985761678
60,60,6.0,6.0,120,12.0,0.5,0.5,1.0,6ALG6HA,443.52866666666665,67.55642111844986,0.861236,0.02486331098224849,0.423928,0.11687134087961855,486.0876666666666,88.60083584443959,632.5566666666667,92.66123312547336,760.8486666666668,45.40990498044819
60,80,6.0,8.0,140,14.0,0.5714285714285714,0.42857142857142855,0.75,6ALG8HA,828.7113333333333,267.7076440920829,0.6066963333333334,0.026265226161853828,1.7245466666666667,0.6431643796366006,799.3670000000001,0.8070167284511277,887.09,6.257189385019405,768.0456666666665,64.09125694923873
