Run,Alg_mg_ml,HA_mg_ml,Eta0_Pa_s,Cross_m,Cross_k_s,G_prime_LVE_Pa,G_double_prime_LVE_Pa,Yield_stress_Pa
1,10,80,182.904,0.766497,0.278983,198.142,256.716,611.629
2,10,80,217.307,0.767669,0.324032,309.828,403.094,534.135
3,10,80,234.41,0.80038,0.331158,275.958,359.134,565.15
4,20,80,299.799,0.81071,0.365788,348.512,453.378,522.956
5,20,80,282.775,0.746452,0.45178,366.736,465.446,490.018
6,20,80,317.925,0.653762,0.85776,351.511,449.834,528.521
7,40,40,76.477,0.464118,1.41845,58.2717,102.764,232.268
8,40,40,119.324,0.560052,0.481202,154.97,268.387,597.288
9,40,40,99.7334,0.740178,0.149962,152.103,256.375,509.356
10,40,60,303.234,0.685191,0.457944,332.033,469.823,524.477
11,40,60,298.463,0.712753,0.457501,350.419,491.155,545.868
12,40,60,245.419,0.481116,0.985485,349.103,480.041,601.69
13,40,80,429.922,0.807125,0.533299,481.729,584.872,551.896
14,40,80,627.275,0.868908,0.592477,485.604,582.931,562.351
15,40,80,720.634,0.820207,0.891118,462.978,563.69,589.076
16,60,20,42.4777,0.619607,0.123291,67.8291,151.783,344.064
17,60,20,43.6288,0.482242,0.2706,71.4151,159.942,377.903
18,60,20,79.5261,0.587807,0.156502,69.5039,157.687,319.316
19,60,40,309.773,0.579064,1.21938,282.158,409.129,579.767
20,60,40,272.174,0.619333,0.783726,220.196,342.292,527.459
21,60,40,154.963,0.705315,0.20098,215.685,305.333,550.613
22,60,60,368.777,0.876524,0.321061,409.564,548.005,728.99
23,60,60,461.591,0.874637,0.399713,465.543,618.049,812.845
24,60,60,500.218,0.832547,0.55101,583.156,731.616,740.711
25,10,40,17.3976,0.81582,0.102216,25.4874,55.5448,89.938
26,10,40,10.7996,0.752467,0.0978945,32.9381,73.0738,101.116
27,10,40,27.5373,0.994333,0.113069,36.3581,75.9214,134.286
28,10,60,85.4876,0.798231,0.162716,102.919,182.826,345.995
29,10,60,125.104,0.827367,0.196981,126.577,212.279,386.637
30,10,60,105.464,0.88239,0.204083,94.8642,159.559,274.288
31,10,20,1.07972,0.792742,0.0163589,1.24531,5.61121,9.23615
32,10,20,1.65765,0.816741,0.013645,1.7431,7.58322,11.2769
33,10,20,2.28101,0.788162,0.0213297,1.69927,7.42938,12.3149
34,20,20,9.50184,0.759762,0.0219009,19.6786,58.5346,133.526
35,20,20,11.134,0.699697,0.0262325,23.4917,67.7755,111.419
36,20,20,10.8441,0.73763,0.0335717,26.3829,73.3926,124.915
37,20,40,37.8958,0.74955,0.0779691,60.0132,129.265,182.209
38,20,40,47.0283,0.87239,0.0758585,99.3036,174.63,327.126
39,20,40,64.6457,0.952439,0.0880795,72.2622,141.713,280.449
40,20,60,75.8155,0.759901,0.140666,162.319,250.989,489.131
41,20,60,47.9806,0.674053,0.160979,152.2,241.348,471.587
42,20,60,64.008,0.847363,0.10613,113.531,186.94,419.588
43,40,20,22.294,0.728743,0.0501603,35.3013,90.6707,199.702
44,40,20,30.7534,0.832004,0.0482187,68.4632,160.751,263.201
45,40,20,27.6872,0.789437,0.046825,45.8701,116.279,200.105
46,60,80,520.664,0.616021,1.03433,799.781,888.443,841.719
47,60,80,960.43,0.627027,1.83225,799.883,892.56,737.281
48,60,80,1005.04,0.577041,2.30706,798.437,880.267,725.137
