Target,Model,Feature_set,Feature,Mean_abs_SHAP,Mean_SHAP,Std_abs_SHAP
Qm,SVR_RBF,engineered,P_over_TP,0.31968845852748573,0.002522949940473862,0.21741205551028295
Qm,SVR_RBF,engineered,TP_pct_wv,0.15997184390722785,0.0007041100847118454,0.13311207732662683
Qm,SVR_RBF,engineered,TP,0.15554266734980765,-0.0002076391206202094,0.12891215970956918
Qm,SVR_RBF,engineered,Alg_fraction_x_HA_fraction,0.08812637747887168,0.0013397740624885523,0.05327456455815611
Qm,SVR_RBF,engineered,HF_x_P,0.08440521735293849,0.0014913167170457404,0.04392228420298772
Qm,SVR_RBF,engineered,Alg_mg_ml,0.08190222862654506,-0.0028038057913402957,0.0389924983451442
Qm,SVR_RBF,engineered,Alg_x_HA,0.07806154881279583,-0.0032391795172124218,0.05971033017039078
Qm,SVR_RBF,engineered,P_over_HA,0.07658606977034607,-0.0020770699516361887,0.042773330758696215
Qm,SVR_RBF,engineered,Alg_HA_ratio_safe,0.07620842345483726,0.0019510376623487675,0.07266676200603217
Qm,SVR_RBF,engineered,Pressure_kPa,0.07315061762518008,-0.0030449506470315384,0.04563563216916168
Qm,SVR_RBF,engineered,Alg_x_P,0.06460512357183373,-0.0029330529490951716,0.06023388719053525
Qm,SVR_RBF,engineered,HA_mg_ml,0.057395850886028346,-8.022236876092798e-05,0.03521364027990944
Qm,SVR_RBF,engineered,P_over_Alg,0.05284697335329437,0.0023496290198524866,0.08856712604354078
Qm,SVR_RBF,engineered,Alg_fraction_feature,0.043859740649823876,0.0038599480994918264,0.02352223531849889
Qm,SVR_RBF,engineered,HF,0.042927282175537394,0.002065602836868595,0.024152106857155964
Qm,SVR_RBF,engineered,TP_x_P,0.027696823798844555,0.0014595551619797642,0.025109575406886138
Qm,SVR_RBF,engineered,HA_x_P,0.02083928982858385,-0.003358003239564769,0.016186162232173874
