Target,Model,Feature_set,Feature,Mean_abs_SHAP,Mean_SHAP,Std_abs_SHAP
SR,SVR_RBF,rheology_enhanced,P_over_TP,0.29539159612402816,-0.004392500599005988,0.20494254389623823
SR,SVR_RBF,rheology_enhanced,P_over_HA,0.2010080444836338,-0.0004957401967555218,0.16150251260431894
SR,SVR_RBF,rheology_enhanced,Pressure_kPa,0.116275215157558,-0.00456485195696364,0.08780124556288411
SR,SVR_RBF,rheology_enhanced,P_over_Alg,0.11149696069629823,-0.00022674625406130807,0.10394687564139433
SR,SVR_RBF,rheology_enhanced,G_double_prime_mean_Pa,0.10880099240105126,0.0005280578539674011,0.052564991716114645
SR,SVR_RBF,rheology_enhanced,G_prime_mean_Pa,0.10654985962738868,0.002226213951029523,0.05504277977398906
SR,SVR_RBF,rheology_enhanced,Eta0_mean_Pa_s,0.10417819404961287,0.00486494633345816,0.08581084081623985
SR,SVR_RBF,rheology_enhanced,TP,0.08623976336926202,-0.0022517297473371865,0.070394065903949
SR,SVR_RBF,rheology_enhanced,TP_pct_wv,0.0833457818350372,0.00025241009208655936,0.06702500957050996
SR,SVR_RBF,rheology_enhanced,Cross_m_mean,0.083316509413293,-0.0016748043666851603,0.06798039574172877
SR,SVR_RBF,rheology_enhanced,Alg_x_HA,0.08243608565972793,0.0006936961174289898,0.0588411200585595
SR,SVR_RBF,rheology_enhanced,HA_mg_ml,0.08157079898786432,0.0014619950931026846,0.05174182560321501
SR,SVR_RBF,rheology_enhanced,Alg_x_P,0.06825262195076034,0.0011906819199321791,0.03864112904270112
SR,SVR_RBF,rheology_enhanced,HF,0.04690877440933497,0.001402592797198178,0.02848579437095261
SR,SVR_RBF,rheology_enhanced,Alg_fraction_feature,0.04485086801797689,-0.0014331719943726222,0.025781154584661795
SR,SVR_RBF,rheology_enhanced,Cross_k_mean_s,0.042594971168060235,0.0001015127380025828,0.045140168504776514
SR,SVR_RBF,rheology_enhanced,HF_x_P,0.038841114409558834,-0.0008103133444049741,0.028130172878771516
SR,SVR_RBF,rheology_enhanced,Alg_HA_ratio_safe,0.03819444082482223,0.00029354300962446995,0.034094602333331135
SR,SVR_RBF,rheology_enhanced,TP_x_P,0.03598143238245711,-0.001728110263133516,0.03116764992588829
SR,SVR_RBF,rheology_enhanced,Yield_stress_mean_Pa,0.0350223442126175,0.0003768655899251567,0.0344596667479817
SR,SVR_RBF,rheology_enhanced,Alg_fraction_x_HA_fraction,0.029470896641068424,0.0022693081234096283,0.02899253999009824
SR,SVR_RBF,rheology_enhanced,Alg_mg_ml,0.026237721929993227,0.0009287827964601473,0.017130301426621336
SR,SVR_RBF,rheology_enhanced,HA_x_P,0.02355271706832899,0.0009873623070935503,0.01653689813613575
