Target,Target_column,Feature,Consensus_score,Permutation_rank,SHAP_rank,Rank_difference,Pearson_r,Spearman_r,Effect_direction,Rule_strength,Low_bin_target_mean,High_bin_target_mean,High_minus_low_target_mean,Rule_text
Pr,Pr_mean,Alg_mg_ml,1.0,1.0,1.0,0.0,0.45359423522232556,0.4646029409951102,Higher feature values are associated with higher target values,Strong,0.9904999999999999,1.1018000000000001,0.11130000000000018,"For Pr, Alg_mg_ml showed a strong XAI consensus score (1.000). Higher feature values are associated with higher target values. The mean target changed from 0.990 in the low-feature range to 1.102 in the high-feature range."
Pr,Pr_mean,Pressure_kPa,0.725695867026832,2.0,2.0,0.0,-0.28280027916679873,-0.3354971993460578,Higher feature values are associated with lower target values,Strong,1.0438,0.9763333333333333,-0.06746666666666679,"For Pr, Pressure_kPa showed a strong XAI consensus score (0.726). Higher feature values are associated with lower target values. The mean target changed from 1.044 in the low-feature range to 0.976 in the high-feature range."
Pr,Pr_mean,HA_mg_ml,0.6583879356472728,3.0,3.0,0.0,-0.5194417613474446,-0.5930019744614208,Higher feature values are associated with lower target values,Moderate,1.1157333333333335,0.9904666666666666,-0.12526666666666686,"For Pr, HA_mg_ml showed a moderate XAI consensus score (0.658). Higher feature values are associated with lower target values. The mean target changed from 1.116 in the low-feature range to 0.990 in the high-feature range."
SR,SR_mean,P_over_TP,1.0,1.0,1.0,0.0,0.05765539498978749,0.05315896739024325,Weak or non-monotonic association,Strong,4.662928571428572,4.845307692307692,0.18237912087912012,"For SR, P_over_TP showed a strong XAI consensus score (1.000). Weak or non-monotonic association. The mean target changed from 4.663 in the low-feature range to 4.845 in the high-feature range."
SR,SR_mean,P_over_HA,0.7132198712160086,2.0,2.0,0.0,0.24932145926930518,0.3721528191555742,Higher feature values are associated with higher target values,Strong,4.641666666666667,5.581066666666667,0.9394,"For SR, P_over_HA showed a strong XAI consensus score (0.713). Higher feature values are associated with higher target values. The mean target changed from 4.642 in the low-feature range to 5.581 in the high-feature range."
SR,SR_mean,Pressure_kPa,0.2980944347907363,3.0,3.0,0.0,-0.14973331011019314,-0.1224508502945086,Weak or non-monotonic association,Weak,5.155266666666667,4.779733333333334,-0.3755333333333333,"For SR, Pressure_kPa showed a weak XAI consensus score (0.298). Weak or non-monotonic association. The mean target changed from 5.155 in the low-feature range to 4.780 in the high-feature range."
SR,SR_mean,Eta0_mean_Pa_s,0.26756699806981654,4.0,7.0,3.0,-0.4328919138560761,-0.3880192601650789,Higher feature values are associated with lower target values,Weak,5.291722222222223,4.367133333333333,-0.9245888888888896,"For SR, Eta0_mean_Pa_s showed a weak XAI consensus score (0.268). Higher feature values are associated with lower target values. The mean target changed from 5.292 in the low-feature range to 4.367 in the high-feature range."
SR,SR_mean,P_over_Alg,0.2541983804101706,7.0,4.0,3.0,-0.12310264154186909,-0.27475266923764474,Higher feature values are associated with lower target values,Weak,5.566,4.5676,-0.9984000000000002,"For SR, P_over_Alg showed a weak XAI consensus score (0.254). Higher feature values are associated with lower target values. The mean target changed from 5.566 in the low-feature range to 4.568 in the high-feature range."
SR,SR_mean,G_double_prime_mean_Pa,0.25285543249672204,6.0,5.0,1.0,-0.37965630742151474,-0.3400780689699427,Higher feature values are associated with lower target values,Weak,5.291722222222223,4.3458,-0.9459222222222232,"For SR, G_double_prime_mean_Pa showed a weak XAI consensus score (0.253). Higher feature values are associated with lower target values. The mean target changed from 5.292 in the low-feature range to 4.346 in the high-feature range."
SR,SR_mean,G_prime_mean_Pa,0.2521598078367865,5.0,6.0,1.0,-0.4085310682326064,-0.4116093701182412,Higher feature values are associated with lower target values,Weak,5.7749999999999995,4.367133333333333,-1.4078666666666662,"For SR, G_prime_mean_Pa showed a weak XAI consensus score (0.252). Higher feature values are associated with lower target values. The mean target changed from 5.775 in the low-feature range to 4.367 in the high-feature range."
SR,SR_mean,TP,0.2022288700607431,8.0,8.0,0.0,-0.35235403904057816,-0.31502148052877,Higher feature values are associated with lower target values,Weak,5.291722222222223,4.1099,-1.1818222222222232,"For SR, TP showed a weak XAI consensus score (0.202). Higher feature values are associated with lower target values. The mean target changed from 5.292 in the low-feature range to 4.110 in the high-feature range."
Qm,Qm_mean_mg_s,P_over_TP,1.0,1.0,1.0,0.0,0.2752828151887485,0.4084550790695244,Higher feature values are associated with higher target values,Strong,0.7668571428571429,1.3704615384615384,0.6036043956043955,"For Qm, P_over_TP showed a strong XAI consensus score (1.000). Higher feature values are associated with higher target values. The mean target changed from 0.767 in the low-feature range to 1.370 in the high-feature range."
Qm,Qm_mean_mg_s,TP_pct_wv,0.48580903520218555,3.0,2.0,1.0,-0.124851856970736,-0.02550306852253353,Weak or non-monotonic association,Moderate,1.2138666666666666,1.0028000000000001,-0.2110666666666665,"For Qm, TP_pct_wv showed a moderate XAI consensus score (0.486). Weak or non-monotonic association. The mean target changed from 1.214 in the low-feature range to 1.003 in the high-feature range."
Qm,Qm_mean_mg_s,TP,0.47888170260810115,2.0,3.0,1.0,-0.124851856970736,-0.02550306852253353,Weak or non-monotonic association,Moderate,1.2138666666666666,1.0028000000000001,-0.2110666666666665,"For Qm, TP showed a moderate XAI consensus score (0.479). Weak or non-monotonic association. The mean target changed from 1.214 in the low-feature range to 1.003 in the high-feature range."
Qm,Qm_mean_mg_s,Alg_mg_ml,0.27539114307713697,4.0,6.0,2.0,-0.1789342726548051,-0.3100374734069411,Higher feature values are associated with lower target values,Weak,1.0018,0.7729333333333334,-0.22886666666666666,"For Qm, Alg_mg_ml showed a weak XAI consensus score (0.275). Higher feature values are associated with lower target values. The mean target changed from 1.002 in the low-feature range to 0.773 in the high-feature range."
Qm,Qm_mean_mg_s,Alg_HA_ratio_safe,0.2471301072484055,6.0,9.0,3.0,-0.24481629922128453,-0.26006665731061374,Higher feature values are associated with lower target values,Weak,1.0666666666666667,0.7548,-0.3118666666666666,"For Qm, Alg_HA_ratio_safe showed a weak XAI consensus score (0.247). Higher feature values are associated with lower target values. The mean target changed from 1.067 in the low-feature range to 0.755 in the high-feature range."
Qm,Qm_mean_mg_s,HF_x_P,0.2459939553602042,9.0,5.0,4.0,0.16761859462392592,0.3168066047858787,Higher feature values are associated with higher target values,Weak,1.1062307692307694,1.1387142857142858,0.03248351648351644,"For Qm, HF_x_P showed a weak XAI consensus score (0.246). Higher feature values are associated with higher target values. The mean target changed from 1.106 in the low-feature range to 1.139 in the high-feature range."
Qm,Qm_mean_mg_s,Alg_x_HA,0.23910302398687666,8.0,7.0,1.0,-0.027619335640916808,0.027743258141499205,Weak or non-monotonic association,Weak,1.11785,1.0028000000000001,-0.11504999999999987,"For Qm, Alg_x_HA showed a weak XAI consensus score (0.239). Weak or non-monotonic association. The mean target changed from 1.118 in the low-feature range to 1.003 in the high-feature range."
Qm,Qm_mean_mg_s,Alg_fraction_x_HA_fraction,0.23242611893369336,12.0,4.0,8.0,0.16922905714135428,0.13441130237519444,Weak or non-monotonic association,Weak,0.8909333333333334,1.3039,0.4129666666666667,"For Qm, Alg_fraction_x_HA_fraction showed a weak XAI consensus score (0.232). Weak or non-monotonic association. The mean target changed from 0.891 in the low-feature range to 1.304 in the high-feature range."
AF,AF_mean,Angle_deg,1.0,1.0,1.0,0.0,-0.8829991505046754,-0.9303785365958522,Higher feature values are associated with lower target values,Strong,1.915904642857143,1.1881458333333332,-0.7277588095238097,"For AF, Angle_deg showed a strong XAI consensus score (1.000). Higher feature values are associated with lower target values. The mean target changed from 1.916 in the low-feature range to 1.188 in the high-feature range."
AF,AF_mean,TP_x_Angle,0.21830660769836813,2.0,2.0,0.0,-0.7816828633588412,-0.8362439112730656,Higher feature values are associated with lower target values,Weak,1.8139686486486486,1.1979608695652175,-0.6160077790834311,"For AF, TP_x_Angle showed a weak XAI consensus score (0.218). Higher feature values are associated with lower target values. The mean target changed from 1.814 in the low-feature range to 1.198 in the high-feature range."
AF,AF_mean,P_x_Angle,0.10447985274582824,4.0,4.0,0.0,-0.5328357610242244,-0.564461742685718,Higher feature values are associated with lower target values,Weak,1.7422490625,1.284251935483871,-0.45799712701612894,"For AF, P_x_Angle showed a weak XAI consensus score (0.104). Higher feature values are associated with lower target values. The mean target changed from 1.742 in the low-feature range to 1.284 in the high-feature range."
AF,AF_mean,Angle_rad,0.10152123128062895,6.0,3.0,3.0,-0.8829991505046754,-0.9303785365958522,Higher feature values are associated with lower target values,Weak,1.915904642857143,1.1881458333333332,-0.7277588095238097,"For AF, Angle_rad showed a weak XAI consensus score (0.102). Higher feature values are associated with lower target values. The mean target changed from 1.916 in the low-feature range to 1.188 in the high-feature range."
AF,AF_mean,Pressure_kPa,0.0976029379679291,3.0,5.0,2.0,-0.07846900169477514,-0.04259930884403698,Weak or non-monotonic association,Weak,1.5378090625,1.4558603703703705,-0.08194869212962952,"For AF, Pressure_kPa showed a weak XAI consensus score (0.098). Weak or non-monotonic association. The mean target changed from 1.538 in the low-feature range to 1.456 in the high-feature range."
AF,AF_mean,P_over_Alg,0.0683175559925052,5.0,7.0,2.0,-0.09379431372094556,-0.07365186205845094,Weak or non-monotonic association,Weak,1.5121045454545454,1.467561875,-0.04454267045454552,"For AF, P_over_Alg showed a weak XAI consensus score (0.068). Weak or non-monotonic association. The mean target changed from 1.512 in the low-feature range to 1.468 in the high-feature range."
AF,AF_mean,HA_x_Angle,0.05327964459623308,10.0,6.0,4.0,-0.5512948050889318,-0.5596356457206054,Higher feature values are associated with lower target values,Weak,1.6723179411764706,1.1857253846153846,-0.486592556561086,"For AF, HA_x_Angle showed a weak XAI consensus score (0.053). Higher feature values are associated with lower target values. The mean target changed from 1.672 in the low-feature range to 1.186 in the high-feature range."
AF,AF_mean,P_over_HA,0.05177422132350448,7.0,9.0,2.0,0.03851203984987395,0.07942977111021388,Weak or non-monotonic association,Weak,1.4926340625,1.512239,0.01960493750000003,"For AF, P_over_HA showed a weak XAI consensus score (0.052). Weak or non-monotonic association. The mean target changed from 1.493 in the low-feature range to 1.512 in the high-feature range."
