Target,Target_column,Feature,Feature_bin,Feature_min,Feature_max,Target_mean,Target_std,N
Pr,Pr_mean,Alg_mg_ml,Low,10.0,20.0,0.9904999999999999,0.06869457361716748,10
Pr,Pr_mean,Alg_mg_ml,Mid,40.0,40.0,1.0146666666666666,0.052803769706699,15
Pr,Pr_mean,Alg_mg_ml,High,60.0,60.0,1.1018000000000001,0.12179209451238733,15
Pr,Pr_mean,Pressure_kPa,Low,55.0,75.0,1.0438,0.06430307702035507,15
Pr,Pr_mean,Pressure_kPa,Mid,80.0,105.0,1.0983846153846153,0.1315405757814793,13
Pr,Pr_mean,Pressure_kPa,High,110.0,160.0,0.9763333333333333,0.04461417087007495,12
Pr,Pr_mean,HA_mg_ml,Low,20.0,40.0,1.1157333333333335,0.11084833052848544,15
Pr,Pr_mean,HA_mg_ml,Mid,60.0,60.0,1.0059,0.05098027941163999,10
Pr,Pr_mean,HA_mg_ml,High,80.0,80.0,0.9904666666666666,0.06018526951561042,15
SR,SR_mean,P_over_TP,Low,0.6875,0.85,4.662928571428572,0.808428719495723,14
SR,SR_mean,P_over_TP,Mid,0.875,1.05,5.5616875,1.411117321782046,16
SR,SR_mean,P_over_TP,High,1.0833333333333333,1.3333333333333333,4.845307692307692,1.447157350613919,13
SR,SR_mean,P_over_HA,Low,0.8125,1.4375,4.641666666666667,1.2241605675882943,15
SR,SR_mean,P_over_HA,Mid,1.5,2.25,4.916615384615384,1.254002627486717,13
SR,SR_mean,P_over_HA,High,2.3333333333333335,5.0,5.581066666666667,1.2959982620505692,15
SR,SR_mean,Pressure_kPa,Low,55.0,75.0,5.155266666666667,1.101554840517106,15
SR,SR_mean,Pressure_kPa,Mid,80.0,100.0,5.248615384615385,1.4629924548940516,13
SR,SR_mean,Pressure_kPa,High,105.0,160.0,4.779733333333334,1.359643307566188,15
SR,SR_mean,Eta0_mean_Pa_s,Low,55.21086666666667,211.54033333333334,5.291722222222223,1.3051824215774481,18
SR,SR_mean,Eta0_mean_Pa_s,Mid,245.63666666666666,282.372,5.649900000000001,1.1505859811417831,10
SR,SR_mean,Eta0_mean_Pa_s,High,300.16633333333334,592.6103333333334,4.367133333333333,1.1278398358091877,15
SR,SR_mean,P_over_Alg,Low,0.9166666666666666,1.75,5.566,1.1690302452399233,15
SR,SR_mean,P_over_Alg,Mid,1.875,2.875,5.019461538461538,1.303288636193368,13
SR,SR_mean,P_over_Alg,High,3.0,10.0,4.5676,1.2904987297276085,15
SR,SR_mean,G_double_prime_mean_Pa,Low,156.4706666666667,339.64799999999997,5.291722222222223,1.3051824215774481,18
SR,SR_mean,G_double_prime_mean_Pa,Mid,352.2513333333333,456.2193333333333,5.681900000000001,1.3752206651217023,10
SR,SR_mean,G_double_prime_mean_Pa,High,480.3396666666667,632.5566666666667,4.3458,0.9205521014198879,15
SR,SR_mean,G_prime_mean_Pa,Low,69.5827,239.34633333333332,5.7749999999999995,1.2430811518159222,17
SR,SR_mean,G_prime_mean_Pa,Mid,261.3093333333333,343.8516666666667,4.870454545454546,1.0728675000797034,11
SR,SR_mean,G_prime_mean_Pa,High,355.58633333333336,486.0876666666666,4.367133333333333,1.1278398358091877,15
SR,SR_mean,TP,Low,80.0,90.0,5.291722222222223,1.3051824215774481,18
SR,SR_mean,TP,Mid,100.0,100.0,5.3938,1.28859625728376,15
SR,SR_mean,TP,High,120.0,120.0,4.1099,0.8471371986480898,10
Qm,Qm_mean_mg_s,P_over_TP,Low,0.6875,0.85,0.7668571428571429,0.3827230083218163,14
Qm,Qm_mean_mg_s,P_over_TP,Mid,0.875,1.0,1.2933076923076923,0.6856322367731582,13
Qm,Qm_mean_mg_s,P_over_TP,High,1.05,1.3333333333333333,1.3704615384615384,0.7733895757620709,13
Qm,Qm_mean_mg_s,TP_pct_wv,Low,8.0,9.0,1.2138666666666666,0.7200067327727535,15
Qm,Qm_mean_mg_s,TP_pct_wv,Mid,10.0,10.0,1.1419333333333335,0.8109975750066498,15
Qm,Qm_mean_mg_s,TP_pct_wv,High,12.0,12.0,1.0028000000000001,0.32184634014800706,10
Qm,Qm_mean_mg_s,TP,Low,80.0,90.0,1.2138666666666666,0.7200067327727535,15
Qm,Qm_mean_mg_s,TP,Mid,100.0,100.0,1.1419333333333335,0.8109975750066498,15
Qm,Qm_mean_mg_s,TP,High,120.0,120.0,1.0028000000000001,0.32184634014800706,10
Qm,Qm_mean_mg_s,Alg_mg_ml,Low,10.0,20.0,1.0018,0.464736197571626,10
Qm,Qm_mean_mg_s,Alg_mg_ml,Mid,40.0,40.0,1.5835333333333332,0.839373734796763,15
Qm,Qm_mean_mg_s,Alg_mg_ml,High,60.0,60.0,0.7729333333333334,0.22325464854116267,15
Qm,Qm_mean_mg_s,Alg_HA_ratio_safe,Low,0.125,0.5,1.0666666666666667,0.42466737684025246,15
Qm,Qm_mean_mg_s,Alg_HA_ratio_safe,Mid,0.6666666666666666,1.0,1.4544666666666666,0.9067354210625743,15
Qm,Qm_mean_mg_s,Alg_HA_ratio_safe,High,1.5,3.0,0.7548,0.2549992592581834,10
Qm,Qm_mean_mg_s,HF_x_P,Low,13.75,38.0,1.1062307692307694,0.7765272214423816,13
Qm,Qm_mean_mg_s,HF_x_P,Mid,40.0,70.0,1.1570769230769231,0.8550989671317254,13
Qm,Qm_mean_mg_s,HF_x_P,High,71.11111111111111,100.0,1.1387142857142858,0.355102894854528,14
Qm,Qm_mean_mg_s,Alg_x_HA,Low,800.0,1600.0,1.11785,0.6757379805968083,20
Qm,Qm_mean_mg_s,Alg_x_HA,Mid,2400.0,2400.0,1.298,0.919686419988417,10
Qm,Qm_mean_mg_s,Alg_x_HA,High,3200.0,3600.0,1.0028000000000001,0.32184634014800706,10
Qm,Qm_mean_mg_s,Alg_fraction_x_HA_fraction,Low,0.09876543209876543,0.1875,0.8909333333333334,0.42813006479451127,15
Qm,Qm_mean_mg_s,Alg_fraction_x_HA_fraction,Mid,0.2222222222222222,0.24,1.2641333333333333,0.7607121538087721,15
Qm,Qm_mean_mg_s,Alg_fraction_x_HA_fraction,High,0.25,0.25,1.3039,0.7867091019627973,10
AF,AF_mean,Angle_deg,Low,60.0,60.0,1.915904642857143,0.24070052492644817,28
AF,AF_mean,Angle_deg,Mid,90.0,90.0,1.4304015625,0.09558702662375347,32
AF,AF_mean,Angle_deg,High,120.0,120.0,1.1881458333333332,0.06366887808363345,36
AF,AF_mean,TP_x_Angle,Low,4800.0,7200.0,1.8139686486486486,0.27963327847142705,37
AF,AF_mean,TP_x_Angle,Mid,8100.0,10800.0,1.320041388888889,0.14194757215561318,36
AF,AF_mean,TP_x_Angle,High,12000.0,14400.0,1.1979608695652175,0.051000856402171654,23
AF,AF_mean,P_x_Angle,Low,3000.0,6000.0,1.7422490625,0.3661790490418004,32
AF,AF_mean,P_x_Angle,Mid,6300.0,9450.0,1.412959090909091,0.2539989389540294,33
AF,AF_mean,P_x_Angle,High,9600.0,19200.0,1.284251935483871,0.1524028958259292,31
AF,AF_mean,Angle_rad,Low,1.0471975511965976,1.0471975511965976,1.915904642857143,0.24070052492644817,28
AF,AF_mean,Angle_rad,Mid,1.5707963267948966,1.5707963267948966,1.4304015625,0.09558702662375347,32
AF,AF_mean,Angle_rad,High,2.0943951023931953,2.0943951023931953,1.1881458333333332,0.06366887808363345,36
AF,AF_mean,Pressure_kPa,Low,50.0,65.0,1.5378090625,0.39605502336335896,32
AF,AF_mean,Pressure_kPa,Mid,70.0,105.0,1.45063,0.32671345103758564,37
AF,AF_mean,Pressure_kPa,High,110.0,160.0,1.4558603703703705,0.24768134156118798,27
AF,AF_mean,P_over_Alg,Low,0.8333333333333334,1.6666666666666667,1.5121045454545454,0.38907364580091797,33
AF,AF_mean,P_over_Alg,Mid,1.75,3.0,1.462258064516129,0.2777489301919913,31
AF,AF_mean,P_over_Alg,High,3.25,7.0,1.467561875,0.32367711510320324,32
AF,AF_mean,HA_x_Angle,Low,1200.0,3600.0,1.6723179411764706,0.3497914035690191,34
AF,AF_mean,HA_x_Angle,Mid,4800.0,7200.0,1.4269018367346937,0.2837546947385001,49
AF,AF_mean,HA_x_Angle,High,9600.0,9600.0,1.1857253846153846,0.05082566635329451,13
AF,AF_mean,P_over_HA,Low,0.625,1.375,1.4926340625,0.35693255423127274,32
AF,AF_mean,P_over_HA,Mid,1.4166666666666667,2.375,1.442940294117647,0.34749589026987976,34
AF,AF_mean,P_over_HA,High,2.4166666666666665,3.5,1.512239,0.2899263654239315,30
