Target,Model,Feature_set,Feature,Importance_mean_RMSE_increase,Importance_std,Abs_importance_mean,Mean_abs_SHAP,Mean_SHAP,Std_abs_SHAP,Permutation_positive,Permutation_norm,SHAP_norm,Permutation_rank,SHAP_rank,Rank_difference,Consensus_score
Pr,LinearRegression,core,Alg_mg_ml,0.1345427585121713,0.015617006518141425,0.1345427585121713,0.11105460328915548,-4.163336342344337e-17,0.08401672900046599,0.1345427585121713,1.0,1.0,1.0,1.0,0.0,1.0
Pr,LinearRegression,core,Pressure_kPa,0.09143751639023835,0.011750570278007024,0.09143751639023835,0.08570916128665285,1.3739009929736313e-16,0.056123566423005235,0.09143751639023835,0.6796167805788413,0.7717749534748226,2.0,2.0,0.0,0.725695867026832
Pr,LinearRegression,core,HA_mg_ml,0.07911294537694506,0.013052266822647703,0.07911294537694506,0.08093242672989961,1.2212453270876723e-16,0.04793310613775549,0.07911294537694506,0.5880134037075521,0.7287624675869937,3.0,3.0,0.0,0.6583879356472728
SR,SVR_RBF,rheology_enhanced,P_over_TP,0.3381819746040472,0.059224019265447514,0.3381819746040472,0.29539159612402816,-0.004392500599005988,0.20494254389623823,0.3381819746040472,1.0,1.0,1.0,1.0,0.0,1.0
SR,SVR_RBF,rheology_enhanced,P_over_HA,0.25227017169638016,0.03639791876484856,0.25227017169638016,0.2010080444836338,-0.0004957401967555218,0.16150251260431894,0.25227017169638016,0.7459598400882987,0.6804799023437185,2.0,2.0,0.0,0.7132198712160086
SR,SVR_RBF,rheology_enhanced,Pressure_kPa,0.06850150527395762,0.02682150426694612,0.06850150527395762,0.116275215157558,-0.00456485195696364,0.08780124556288411,0.06850150527395762,0.20255812082876706,0.39363074875270554,3.0,3.0,0.0,0.2980944347907363
SR,SVR_RBF,rheology_enhanced,Eta0_mean_Pa_s,0.0617032412286103,0.02861405628958402,0.0617032412286103,0.10417819404961287,0.00486494633345816,0.08581084081623985,0.0617032412286103,0.18245573644442215,0.35267825969521094,4.0,7.0,3.0,0.26756699806981654
SR,SVR_RBF,rheology_enhanced,P_over_Alg,0.044282228202359025,0.03716029828413224,0.044282228202359025,0.11149696069629823,-0.00022674625406130807,0.10394687564139433,0.044282228202359025,0.13094201207561662,0.3774547487447247,7.0,4.0,3.0,0.2541983804101706
SR,SVR_RBF,rheology_enhanced,G_double_prime_mean_Pa,0.0464604124712225,0.02535641747130967,0.0464604124712225,0.10880099240105126,0.0005280578539674011,0.052564991716114645,0.0464604124712225,0.13738287655815964,0.36832798843528447,6.0,5.0,1.0,0.25285543249672204
SR,SVR_RBF,rheology_enhanced,G_prime_mean_Pa,0.04856714852949178,0.023699566712331706,0.04856714852949178,0.10654985962738868,0.002226213951029523,0.05504277977398906,0.04856714852949178,0.14361246954795726,0.3607071461256157,5.0,6.0,1.0,0.2521598078367865
